Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NFL,Showdown Captain Mode,2979822207,NFL Showdown $1 jimmykim810 vs. WhoDey2229 (BAL vs CHI),118889640,11/21/21 13:00,2,48.41,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979821777,NFL Showdown $1 jimmykim810 vs. wheels1111 (IND vs BUF),118889600,11/21/21 13:00,1,70.98,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979821316,NFL Showdown $1 jimmykim810 vs. cassius21 (GB vs MIN),118889535,11/21/21 13:00,1,156.45,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Classic,2976089691,NBA $4K Elbow Shot [Single Entry],118744222,11/20/21 19:00,965,247.5,$0.00 ,$0.00 ,2378,$2.00 ,"$4,000.00 ",616
NBA,Classic,2976106693,NBA $4K Daily Dollar [Single Entry],118744223,11/20/21 19:00,1865,247.5,$0.00 ,$0.00 ,4756,$1.00 ,"$4,000.00 ",1103
NBA,Classic,2976080756,NBA $3 jimmykim810 vs. mmurray9595,118770086,11/20/21 19:00,2,252.5,$0.00 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Classic,2976080757,NBA $3 jimmykim810 vs. iloseeveryday22,118770087,11/20/21 19:00,2,252.5,$0.00 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Classic,2976080758,NBA $3 jimmykim810 vs. sportsfanatic89,118770088,11/20/21 19:00,2,252.5,$0.00 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Showdown Captain Mode,2976106893,NBA Showdown $1 jimmykim810 vs. jfin4523 (CHA vs ATL),118770090,11/20/21 19:30,2,226,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2976106851,NBA Showdown $1 jimmykim810 vs. simonroberge (NOP vs IND),118770089,11/20/21 19:00,1,176.13,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Classic,2976098782,CBB $250 Quarter Jukebox [Just $0.25!]  (4/5),118753412,11/20/21 13:00,147,214,$0.50 ,$0.00 ,1189,$0.25 ,$250.00 ,273
CBB,Classic,2976098781,CBB $250 Quarter Jukebox [Just $0.25!]  (3/5),118753412,11/20/21 13:00,213,207.5,$0.50 ,$0.00 ,1189,$0.25 ,$250.00 ,273
CBB,Classic,2976098780,CBB $250 Quarter Jukebox [Just $0.25!]  (2/5),118753412,11/20/21 13:00,238,204.75,$0.50 ,$0.00 ,1189,$0.25 ,$250.00 ,273
CBB,Classic,2976098779,CBB $250 Quarter Jukebox [Just $0.25!]  (1/5),118753412,11/20/21 13:00,247,203.75,$0.50 ,$0.00 ,1189,$0.25 ,$250.00 ,273
CBB,Classic,2976098783,CBB $250 Quarter Jukebox [Just $0.25!]  (5/5),118753412,11/20/21 13:00,523,185.75,$0.00 ,$0.00 ,1189,$0.25 ,$250.00 ,273
